date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:01:48	17367/17367	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:31%20GMT	http://www.jpp.org.in/index.php/jpp/article/view/112/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/view/112/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/112)
09:01:52	9529573/9529573	---MC-	200	added ('OK')	application/pdf	date:Mon,%2012%20Nov%202018%2008:56:35%20GMT	http://www.jpp.org.in/index.php/jpp/article/download/291/192	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/download/291/291-893-1-PB.pdf	(from http://www.jpp.org.in/index.php/jpp/article/view/291)
09:01:54	3969/3969	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:37%20GMT	http://www.jpp.org.in/index.php/jpp/rt/printerFriendly/204/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/printerFriendly/204/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/204)
09:01:55	6448/6448	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:38%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/204/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/204/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/204)
09:01:57	17623/17623	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:39%20GMT	http://www.jpp.org.in/index.php/jpp/article/view/204/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/view/204/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/204)
09:01:58	6458/6458	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:41%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/204/142	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/204/142.html	(from http://www.jpp.org.in/index.php/jpp/article/view/204/142)
09:02:02	5994393/5994393	---MC-	200	added ('OK')	application/pdf	date:Mon,%2012%20Nov%202018%2008:58:31%20GMT	http://www.jpp.org.in/index.php/jpp/article/download/212/150	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/download/212/212-664-1-PB.pdf	(from http://www.jpp.org.in/index.php/jpp/article/view/212)
09:02:03	130511/130511	---MC-	200	added ('OK')	application/pdf	date:Mon,%2012%20Nov%202018%2009:01:42%20GMT	http://www.jpp.org.in/index.php/jpp/article/download/42/41	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/article/download/42/42-166-1-PB.pdf	(from http://www.jpp.org.in/index.php/jpp/article/view/42)
09:02:04	5454/5454	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:47%20GMT	http://www.jpp.org.in/index.php/jpp/rt/printerFriendly/42/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/printerFriendly/42/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/42)
09:02:05	6400/6400	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2009:01:48%20GMT	http://www.jpp.org.in/index.php/jpp/rt/captureCite/42/0	C:/My%20Web%20Sites/JPP/www.jpp.org.in/index.php/jpp/rt/captureCite/42/0.html	(from http://www.jpp.org.in/index.php/jpp/article/view/42)
